Date,Open,High,Low,Close,Volume,Adj Close
2005-04-20,115.379997,115.629997,113.550003,113.800003,107735900,90.971977
2005-04-19,115.099998,115.529999,114.830002,115.410004,64930100,92.259015
2005-04-18,114.120003,114.959999,113.959999,114.50,100035200,91.531556
2005-04-15,115.739998,116.199997,114.099998,114.150002,128677300,91.251767
2005-04-14,117.400002,117.50,115.769997,115.769997,96119800,92.546794
2005-04-13,118.559998,118.800003,117.129997,117.300003,65949000,93.769885
2005-04-12,117.889999,119.059998,117.07,118.699997,86144800,94.889043
2005-04-11,118.290001,118.419998,117.830002,118.089996,44945000,94.401407
2005-04-08,119.169998,119.209999,118.00,118.00,63772900,94.329464
2005-04-07,118.410004,119.260002,118.32,119.239998,46734600,95.320721
2005-04-06,118.449997,118.949997,118.18,118.599998,53268200,94.809104
2005-04-05,117.779999,118.379997,117.669998,118.190002,46853900,94.481352
2005-04-04,117.360001,117.860001,116.739998,117.629997,71581200,94.033683
2005-04-01,118.629997,118.989998,116.910004,117.43,95255300,93.873805
2005-03-31,118.190002,118.459999,117.870003,117.959999,64575400,94.297487
2005-03-30,116.779999,118.199997,116.769997,118.18,62002100,94.473357
2005-03-29,117.139999,117.900002,116.25,116.529999,71160300,93.154342
2005-03-28,117.419998,117.940002,117.309998,117.309998,46765500,93.777874
2005-03-24,117.459999,117.989998,117.059998,117.139999,51932500,93.641978
2005-03-23,116.949997,117.720001,116.75,117.00,70817300,93.530062
2005-03-22,118.370003,118.93,116.900002,116.900002,92472400,93.450123
2005-03-21,118.709999,118.779999,117.760002,118.099998,61244300,94.409403
2005-03-18,119.110001,119.529999,118.150002,118.540001,60232000,94.761142
2005-03-17,119.309998,119.739998,118.980003,119.360001,62584200,95.04333
2005-03-16,119.699997,120.160004,118.900002,119.120003,74874200,94.852226
2005-03-15,121.419998,121.459999,120.080002,120.139999,62438500,95.664423
2005-03-14,120.610001,121.160004,120.279999,121.139999,36336400,96.460698
2005-03-11,121.309998,121.720001,120.160004,120.389999,57976500,95.863492
2005-03-10,121.199997,121.50,120.400002,121.239998,65149000,96.540324
2005-03-09,121.970001,122.290001,120.959999,120.970001,73263600,96.325332
2005-03-08,122.669998,123.00,122.110001,122.330002,44362000,97.408266
2005-03-07,122.660004,123.25,122.400002,122.790001,43442400,97.774552
2005-03-04,122.050003,122.830002,121.790001,122.730003,56168500,97.726777
2005-03-03,121.660004,121.900002,120.699997,121.220001,61230800,96.524401
2005-03-02,120.760002,121.93,120.650002,121.169998,64226500,96.484585
2005-03-01,120.82,121.519997,120.779999,121.230003,47294400,96.532365
2005-02-28,121.150002,121.300003,120.040001,120.629997,69381300,96.054596
2005-02-25,120.269997,121.669998,120.18,121.43,60899900,96.691618
2005-02-24,119.239998,120.32,118.980003,120.239998,68563600,95.744049
2005-02-23,118.93,119.57,118.620003,119.449997,68292600,95.114992
2005-02-22,119.900002,120.470001,118.580002,118.599998,80697600,94.43816
2005-02-18,120.239998,120.480003,119.900002,120.389999,47723300,95.863492
2005-02-17,121.230003,121.330002,120.220001,120.230003,58124000,95.736091
2005-02-16,120.93,121.459999,120.669998,121.209999,55523000,96.516437
2005-02-15,120.800003,121.43,120.68,121.129997,43852700,96.452733
2005-02-14,120.690002,120.860001,120.480003,120.68,32432100,96.094412
2005-02-11,119.699997,121.040001,119.459999,120.769997,53133000,96.166074
2005-02-10,119.660004,120.019997,119.260002,119.739998,45858600,95.345912
2005-02-09,120.419998,120.489998,119.25,119.309998,55279400,95.003514
2005-02-08,120.169998,120.650002,120.07,120.209999,39263500,95.720162
2005-02-07,120.25,120.519997,119.959999,120.07,45412000,95.608684
2005-02-04,119.00,120.43,118.980003,120.230003,50024600,95.736091
2005-02-03,119.059998,119.160004,118.57,118.959999,48837100,94.724819
2005-02-02,119.059998,119.589996,118.900002,119.269997,52468900,94.971662
2005-02-01,118.25,119.080002,118.099998,118.910004,49841200,94.685009
2005-01-31,117.949997,118.25,117.709999,118.160004,52532700,94.087803
2005-01-28,117.489998,117.550003,116.610001,117.43,60738900,93.50652
2005-01-27,117.190002,117.75,116.980003,117.43,55878800,93.50652
2005-01-26,117.32,117.599998,117.040001,117.230003,57195100,93.347267
2005-01-25,116.910004,117.470001,116.720001,116.879997,68245000,93.068566
2005-01-24,117.089996,117.339996,116.370003,116.550003,58441900,92.8058
2005-01-21,117.790001,118.00,116.650002,116.779999,63160400,92.98894
2005-01-20,117.889999,118.199997,117.290001,117.50,72049300,93.562259
2005-01-19,119.43,119.519997,118.209999,118.220001,54378900,94.135577
2005-01-18,118.050003,119.620003,117.949997,119.470001,57391700,95.130921
2005-01-14,117.970001,118.529999,117.760002,118.239998,42032500,94.1515
2005-01-13,118.639999,118.730003,117.50,117.620003,55537500,93.657814
2005-01-12,118.400002,118.839996,117.519997,118.57,72720500,94.414272
2005-01-11,118.639999,118.739998,117.989998,118.18,63099700,94.103726
2005-01-10,118.339996,119.459999,118.339996,119.00,56563300,94.756671
2005-01-07,118.970001,119.230003,118.129997,118.440002,55847700,94.310759
2005-01-06,118.440002,119.150002,118.260002,118.610001,47814700,94.446124
2005-01-05,118.739998,119.25,118.00,118.010002,65667300,93.96836
2005-01-04,120.459999,120.540001,118.440002,118.830002,69167600,94.621305
2005-01-03,121.559998,121.760002,119.900002,120.300003,55748000,95.79183
2004-12-31,121.300003,121.660004,120.800003,120.870003,28648800,96.245706
2004-12-30,121.400002,121.57,121.040001,121.129997,21076900,96.452733
2004-12-29,121.080002,121.400002,120.949997,121.360001,22650600,96.635879
2004-12-28,120.639999,121.330002,120.599998,121.18,23422900,96.492549
2004-12-27,121.199997,121.360001,120.389999,120.519997,29944100,95.967005
2004-12-23,120.870003,121.279999,120.660004,120.769997,25646100,96.166074
2004-12-22,120.379997,121.080002,120.300003,120.68,31500700,96.094412
2004-12-21,119.599998,120.480003,119.459999,120.389999,33094200,95.863492
2004-12-20,119.75,120.290001,119.169998,119.470001,47187400,95.130921
2004-12-17,119.459999,119.970001,119.160004,119.440002,70761900,95.107033
2004-12-16,120.720001,121.239998,120.040001,120.809998,51641800,95.745641
2004-12-15,120.699997,121.110001,120.309998,120.879997,46699200,95.801118
2004-12-14,120.18,120.959999,120.18,120.790001,41500700,95.729793
2004-12-13,119.760002,120.400002,119.349998,120.370003,38541000,95.396932
2004-12-10,118.919998,119.559998,118.849998,119.330002,47828600,94.572699
2004-12-09,118.139999,119.459999,117.730003,119.209999,60922800,94.477593
2004-12-08,118.209999,118.82,118.010002,118.790001,43895100,94.144731
2004-12-07,119.489998,119.620003,118.040001,118.099998,52047200,93.597883
2004-12-06,119.209999,119.639999,118.839996,119.209999,33030500,94.477593
2004-12-03,119.309998,120.139999,119.089996,119.25,49067900,94.509295
2004-12-02,119.099998,119.870003,119.010002,119.330002,60163500,94.572699
2004-12-01,118.160004,119.50,118.099998,119.230003,49898300,94.493447
2004-11-30,118.00,118.239998,117.639999,117.889999,53685200,93.431453
2004-11-29,118.790001,119.010002,117.480003,117.809998,61460800,93.368049
2004-11-26,118.510002,118.980003,118.300003,118.349998,15487700,93.796016
2004-11-24,118.269997,118.589996,118.050003,118.440002,29724800,93.867347
2004-11-23,117.93,118.260002,117.370003,118.160004,41968800,93.645439
2004-11-22,117.169998,118.120003,117.029999,117.980003,37560200,93.502784
2004-11-19,118.699997,118.720001,117.139999,117.419998,54276500,93.058962
2004-11-18,118.529999,118.800003,118.230003,118.739998,31854300,94.105103
2004-11-17,118.370003,119.139999,118.07,118.580002,54494000,93.978301
2004-11-16,118.360001,118.410004,117.730003,117.879997,40028700,93.423526
2004-11-15,118.50,118.769997,118.230003,118.730003,35297900,94.097182
2004-11-12,117.970001,119.00,117.68,118.790001,55583700,93.866555
2004-11-11,117.18,118.120003,117.099998,117.860001,37863200,93.131679
2004-11-10,117.059998,117.550003,116.760002,116.970001,45265400,92.428412
2004-11-09,117.080002,117.50,116.760002,116.879997,44658100,92.357291
2004-11-08,116.980003,117.230003,116.720001,117.110001,33863800,92.539038
2004-11-05,117.050003,117.639999,116.489998,117.279999,63287200,92.673368
2004-11-04,114.779999,116.669998,114.68,116.550003,55350300,92.096534
2004-11-03,115.029999,115.360001,114.239998,114.980003,76960200,90.855937
2004-11-02,113.669998,114.57,113.220001,113.550003,56210000,89.725967
2004-11-01,113.559998,113.839996,113.199997,113.510002,36720900,89.694358
2004-10-29,113.120003,113.639999,112.900002,113.199997,48820200,89.449396
2004-10-28,112.779999,113.559998,112.489998,113.220001,54413300,89.465203
2004-10-27,111.379997,113.099998,111.120003,112.879997,73896000,89.196535
2004-10-26,110.129997,111.599998,109.879997,111.540001,54337400,88.137685
2004-10-25,109.75,110.120003,109.349998,109.860001,43990900,86.810167
2004-10-22,111.190002,111.25,109.860001,109.989998,48752400,86.912889
